system:index,month,ndvi_mean,ndwi_max,ndwi_mean,rainfall_mm_x,year,.geo,year_month,temperature_c,rainfall_mm,humidity_percent,month_sin,month_cos,ndvi_mean_lag1,ndwi_mean_lag1,ndwi_mean_lag2,rainfall_lag1,rainfall_lag2,rainfall_roll3,temperature_lag1,humidity_lag1,rain_humidity_interaction_lag1,flood_risk
3,4,0.4029918204314445,0.1768433179723502,-0.3342063462815173,99.69645703589276,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-04,22.23,150.6,82.77,0.8660254037844387,-0.4999999999999998,0.4364197054341022,-0.3654748295532759,-0.4490735818339548,34.1,7.8,14.433333333333332,22.13,67.19,2291.179,0
4,5,0.3996647868947321,0.0854826823876197,-0.3362644645721531,353.4428574405455,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-05,21.26,401.1,90.39,0.49999999999999994,-0.8660254037844387,0.4029918204314445,-0.3342063462815173,-0.3654748295532759,150.6,34.1,64.16666666666667,22.23,82.77,12465.161999999998,0
5,6,0.0444817345420057,0.0548656284907024,-0.0552380384178028,847.522451425716,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-06,19.66,727.2,96.43,1.2246467991473532e-16,-1.0,0.3996647868947321,-0.3362644645721531,-0.3342063462815173,401.1,150.6,195.26666666666665,21.26,90.39,36255.429000000004,1
6,7,0.0056542520299515,0.0846733156930592,-0.0229805124072133,808.2678659743007,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-07,18.94,835.1,97.16,-0.4999999999999997,-0.8660254037844388,0.0444817345420057,-0.0552380384178028,-0.3362644645721531,727.2,401.1,426.3,19.66,96.43,70123.89600000001,1
7,8,0.0167253425994276,0.0313146084413292,-0.0332923214139912,694.0480619701865,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-08,18.44,752.2,96.58,-0.8660254037844384,-0.5000000000000004,0.0056542520299515,-0.0229805124072133,-0.0552380384178028,835.1,727.2,654.4666666666667,18.94,97.16,81138.316,1
8,9,0.3755676508437143,0.5960334029227558,-0.3214683913477144,129.7878114112933,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-09,19.5,129.8,88.23,-1.0,-1.8369701987210297e-16,0.0167253425994276,-0.0332923214139912,-0.0229805124072133,752.2,835.1,771.5,18.44,96.58,72647.47600000001,0
9,10,0.2956755979781755,0.3517191977077364,-0.2463522700986774,189.60169235696748,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-10,20.15,225.9,82.32,-0.8660254037844386,0.5000000000000001,0.3755676508437143,-0.3214683913477144,-0.0332923214139912,129.8,752.2,572.3666666666667,19.5,88.23,11452.254,0
10,11,0.3264526027742118,0.2819383259911894,-0.2768249585947845,20.89769555156819,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-11,20.16,91.5,76.37,-0.5000000000000004,0.8660254037844384,0.2956755979781755,-0.2463522700986774,-0.3214683913477144,225.9,129.8,369.29999999999995,20.15,82.32,18596.088,0
11,12,0.5178916825557879,0.3896894012167787,-0.410478899020588,32.00030188926208,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-12,19.66,16.4,77.23,-2.4492935982947064e-16,1.0,0.3264526027742118,-0.2768249585947845,-0.2463522700986774,91.5,225.9,149.06666666666663,20.16,76.37,6987.8550000000005,0
0,1,0.5533826867478319,0.5115661736822147,-0.4539658360978605,4.593608167279308,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01,18.75,2.0,60.94,0.49999999999999994,0.8660254037844387,0.5178916825557879,-0.410478899020588,-0.2768249585947845,16.4,91.5,111.26666666666664,19.66,77.23,1266.572,0
