date,temperature_c,rainfall_mm,humidity_percent
2018-01-01,19.0,0.0,74
2018-01-02,19.4,0.0,71
2018-01-03,18.7,0.1,73
2018-01-04,19.3,0.0,72
2018-01-05,18.7,0.0,72
2018-01-06,18.6,0.0,73
2018-01-07,18.9,0.3,76
2018-01-08,18.1,0.0,65
2018-01-09,18.4,0.0,67
2018-01-10,19.2,0.2,74
2018-01-11,20.5,0.0,72
2018-01-12,20.8,0.0,74
2018-01-13,21.1,0.0,63
2018-01-14,20.0,0.0,52
2018-01-15,20.2,0.0,50
2018-01-16,20.5,0.0,60
2018-01-17,19.9,0.0,68
2018-01-18,19.2,0.0,57
2018-01-19,18.6,0.0,49
2018-01-20,18.9,0.0,56
2018-01-21,19.0,0.0,59
2018-01-22,18.8,0.2,71
2018-01-23,19.3,0.6,77
2018-01-24,20.0,0.0,65
2018-01-25,19.9,0.0,62
2018-01-26,19.8,0.0,64
2018-01-27,19.3,0.0,72
2018-01-28,19.4,0.0,76
2018-01-29,19.8,0.0,66
2018-01-30,19.7,0.0,64
2018-01-31,19.5,0.0,53
2018-02-01,19.6,0.0,46
2018-02-02,19.5,0.0,45
2018-02-03,19.1,0.0,51
2018-02-04,19.0,0.0,45
2018-02-05,19.8,0.0,40
2018-02-06,21.3,0.1,51
2018-02-07,20.8,0.3,59
2018-02-08,21.4,0.0,64
2018-02-09,21.2,3.1,69
2018-02-10,20.9,1.2,70
2018-02-11,21.0,0.2,71
2018-02-12,20.3,2.2,78
2018-02-13,20.5,0.7,73
2018-02-14,21.2,0.0,63
2018-02-15,21.0,0.0,61
2018-02-16,20.9,0.0,60
2018-02-17,20.8,0.0,56
2018-02-18,20.9,0.0,66
2018-02-19,20.8,0.0,64
2018-02-20,20.9,0.0,60
2018-02-21,21.0,0.0,54
2018-02-22,21.1,0.0,56
2018-02-23,21.1,0.0,50
2018-02-24,20.8,0.0,44
2018-02-25,21.2,0.0,55
2018-02-26,21.5,0.0,52
2018-02-27,21.9,0.0,47
2018-02-28,22.3,0.0,44
2018-03-01,22.2,0.0,51
2018-03-02,22.3,0.0,43
2018-03-03,22.1,0.0,49
2018-03-04,22.3,0.0,63
2018-03-05,22.3,0.0,61
2018-03-06,22.1,0.2,62
2018-03-07,22.3,0.1,65
2018-03-08,22.4,0.0,64
2018-03-09,22.3,0.0,60
2018-03-10,22.7,0.0,47
2018-03-11,23.3,0.0,44
2018-03-12,23.1,0.0,44
2018-03-13,22.5,0.0,62
2018-03-14,21.5,6.7,78
2018-03-15,20.2,3.0,90
2018-03-16,20.8,0.3,84
2018-03-17,20.8,0.9,82
2018-03-18,20.7,2.4,85
2018-03-19,20.7,7.3,87
2018-03-20,22.4,0.0,69
2018-03-21,21.6,1.3,71
2018-03-22,21.5,0.0,72
2018-03-23,22.1,0.3,60
2018-03-24,22.9,0.8,60
2018-03-25,24.4,0.0,57
2018-03-26,23.8,0.0,64
2018-03-27,23.1,0.6,75
2018-03-28,22.0,1.2,79
2018-03-29,22.0,3.8,82
2018-03-30,22.1,2.8,86
2018-03-31,21.6,2.4,87
2018-04-01,22.4,2.8,76
2018-04-02,21.6,8.9,87
2018-04-03,21.7,4.2,84
2018-04-04,21.9,3.1,78
2018-04-05,22.7,0.8,75
2018-04-06,22.1,3.2,82
2018-04-07,23.0,1.2,74
2018-04-08,22.5,2.3,70
2018-04-09,22.7,0.4,63
2018-04-10,22.4,0.3,77
2018-04-11,21.3,9.4,86
2018-04-12,22.0,6.9,81
2018-04-13,21.6,1.5,84
2018-04-14,22.7,1.6,78
2018-04-15,21.1,14.4,91
2018-04-16,22.6,6.0,83
