date,temperature_c,rainfall_mm,humidity_percent
2018-01,19.44,1.4,66.03
2018-02,20.78,7.8,56.93
2018-03,22.13,34.1,67.19
2018-04,22.23,150.6,82.77
2018-05,21.26,401.1,90.39
2018-06,19.66,727.2,96.43
2018-07,18.94,835.1,97.16
2018-08,18.44,752.2,96.58
2018-09,19.5,129.8,88.23
2018-10,20.15,225.9,82.32
2018-11,20.16,91.5,76.37
2018-12,19.66,16.4,77.23
2019-01,18.75,2.0,60.94
2019-02,21.05,26.3,63.07
2019-03,22.45,25.9,67.03
2019-04,22.63,97.8,80.6
2019-05,22.15,129.5,86.68
2019-06,20.72,311.2,93.0
2019-07,19.32,690.6,96.68
2019-08,19.15,561.8,96.77
2019-09,19.65,434.3,94.17
2019-10,19.69,512.6,93.0
2019-11,20.23,100.1,83.77
2019-12,19.77,54.1,79.94
2020-01,20.2,4.3,72.9
2020-02,21.02,7.3,66.9
2020-03,22.13,34.5,73.16
2020-04,22.45,120.6,82.43
2020-05,22.25,144.7,88.9
2020-06,20.13,299.2,94.27
2020-07,19.68,438.8,94.55
2020-08,19.4,594.8,94.42
2020-09,19.49,544.2,94.57
2020-10,19.52,201.9,89.9
2020-11,20.05,74.0,79.57
2020-12,19.77,31.6,75.52
2021-01,19.49,81.7,77.55
2021-02,19.63,20.8,70.36
2021-03,22.06,12.1,68.29
2021-04,21.66,166.7,85.87
2021-05,20.78,349.5,92.1
2021-06,19.77,366.9,93.43
2021-07,19.13,842.6,96.48
2021-08,19.21,484.2,95.29
2021-09,19.42,348.1,94.1
2021-10,20.07,274.9,91.13
2021-11,19.39,262.3,89.93
2021-12,19.42,20.0,76.26
2022-01,19.64,3.2,68.87
2022-02,20.79,3.1,64.54
2022-03,21.92,85.1,68.48
2022-04,22.08,132.6,84.43
2022-05,20.4,350.5,92.74
2022-06,19.89,275.0,92.77
2022-07,18.88,679.1,96.03
2022-08,18.99,519.6,94.52
2022-09,19.42,260.9,91.93
2022-10,19.43,233.3,86.9
2022-11,19.3,67.8,80.6
2022-12,19.06,51.3,75.29
2023-01,18.82,13.6,63.74
2023-02,20.71,0.2,54.07
2023-03,21.96,9.6,52.65
2023-04,22.82,68.5,70.37
2023-05,21.79,176.7,86.13
2023-06,20.73,177.7,90.93
2023-07,19.0,732.5,97.06
2023-08,20.0,160.8,90.42
2023-09,19.87,239.0,92.93
2023-10,20.64,148.3,84.87
2023-11,20.6,63.1,81.1
2023-12,20.36,11.8,74.77
2024-01,20.22,16.6,72.32
2024-02,21.9,0.6,58.38
2024-03,23.28,5.7,66.94
2024-04,24.36,26.5,72.3
2024-05,22.3,379.3,88.06
2024-06,20.35,327.5,93.97
2024-07,19.28,772.5,96.84
2024-08,19.94,383.1,93.61
2024-09,19.6,222.8,93.0
2024-10,19.86,260.8,91.1
2024-11,20.09,75.7,79.8
2024-12,19.74,60.3,81.71
2025-01,19.76,3.4,65.9
2025-02,21.76,0.9,53.25
2025-03,22.93,32.5,70.32
2025-04,22.1,133.7,82.73
2025-05,20.81,610.8,90.26
2025-06,19.61,359.5,94.27
2025-07,18.75,773.5,97.32
2025-08,18.97,568.9,95.16
2025-09,19.24,230.4,93.5
2025-10,20.06,220.7,89.13
2025-11,19.65,23.6,81.13
2025-12,18.35,9.0,71.87
